StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,Age,Gender,Logo_grp1_cr_1,Logo_grp1_imp_1,Logo_grp2_cr_1,Logo_grp2_imp_1,Logo_grp3_cr_1,Logo_grp3_imp_1,Password_grp2_cr_1,Password_grp2_imp_1,Password_grp3_cr_1,Password_grp3_imp_1,Password_grp1_cr_1,Password_grp1_imp_1,Space_grp3_cr_1,Space_grp3_imp_1,Space_grp1_cr_1,Space_grp1_imp_1,Space_grp2_cr_1,Space_grp2_imp_1
2024-01-23 18:41:27,2024-01-23 18:49:57,0,197.230.240.146,100,510,1,2024-01-23 18:49:58,R_6qsDgwtTsLUgTFn,,,,,32.3019,-9.2334,anonymous,EN,1,23,1,1.6,0.8,8.8,7.3,0.7,1.4,4.5,3.5,3.6,3.2,4.2,4.6,1,1.1,7,7.9,8,6.5
2024-01-23 18:34:57,2024-01-23 19:17:58,0,41.251.152.16,100,2581,1,2024-01-23 19:17:58,R_72sy5mY3YyyNTIB,,,,,33.5792,-7.6133,anonymous,EN,1,20,2,8.5,7.5,4,4,5,5,8,1,9,1,10,0.5,8,8.5,9,8.5,10,9.5
2024-01-23 20:29:32,2024-01-23 20:33:34,0,197.230.97.174,100,242,1,2024-01-23 20:33:35,R_7DVdcx7XLex0Kq6,,,,,34.0663,-6.817,anonymous,EN,1,26,1,1,2,2,1,4,3.1,6,2,7,3.1,4.5,2.2,1,1,2,1,1,1
2024-01-23 21:34:33,2024-01-23 21:37:35,0,196.84.118.232,100,181,1,2024-01-23 21:37:36,R_6eRcMyZazWPYKFZ,,,,,31.6298,-8.0101,anonymous,EN,1,35,1,7.6,9.4,2.7,5.3,7,4.7,7.2,7.2,1.5,5.4,7.7,8.5,10,10,10,10,10,10
2024-01-24 13:19:18,2024-01-24 13:22:35,0,197.230.97.174,100,197,1,2024-01-24 13:22:36,R_7lVL2QD9vvpvfK0,,,,,34.0663,-6.817,anonymous,EN,1,20,2,6,5.2,9.9,7.9,8.8,8.5,9.3,8.7,9.6,9.1,10,9.1,8.9,8.8,10,8.8,9.5,9.6
2024-01-24 14:50:39,2024-01-24 14:54:57,0,197.230.97.174,100,258,1,2024-01-24 14:54:58,R_72Ed5Zlo66uQmtA,,,,,34.0663,-6.817,anonymous,EN,1,21,2,0.2,2,10,10,2,10,2,8,0,8,10,10,10,8.7,9.8,5.6,3.5,6.2
2024-01-24 16:05:01,2024-01-24 16:10:58,0,197.230.97.174,100,356,1,2024-01-24 16:10:59,R_7qPW2nUfRlFQHgn,,,,,34.0663,-6.817,anonymous,EN,1,28,1,7,7.5,0.5,0.5,3,3.2,4,8,1.1,7.9,8.6,6.4,4.6,4.1,7,6.5,2.6,3.9
2024-01-24 23:28:09,2024-01-24 23:31:40,0,197.145.148.227,100,211,1,2024-01-24 23:31:41,R_1DHHRHM3fqAGLwT,,,,,33.5792,-7.6133,anonymous,EN,1,21,2,2.9,4.1,6,8.2,5.2,5.5,4.3,5.8,8.5,4.8,6.8,10,6.9,6.6,8.8,10,9.2,8.8
2024-01-25 00:02:05,2024-01-25 00:04:21,0,196.127.199.184,100,135,1,2024-01-25 00:04:22,R_5DqEQp6U1JgtJNT,,,,,33.5792,-7.6133,anonymous,EN,1,23,1,2.3,3.9,1.7,4.1,5.2,5.2,4.8,8.6,4.5,7.8,9.3,8.8,5.2,5,7.7,8.1,7,8.2
2024-01-25 00:23:10,2024-01-25 00:36:47,0,197.230.97.174,100,816,1,2024-01-25 00:36:47,R_1jdHkkRLuJDgbhh,,,,,34.0663,-6.817,anonymous,EN,1,27,1,5,6.5,7.5,4.8,7.6,4.1,9,3,7,5,6,6.5,7.1,6,7.6,7,6.8,6.6
2024-01-25 03:49:20,2024-01-25 03:57:38,0,157.37.183.193,100,498,1,2024-01-25 03:57:39,R_4FoUwWZZKBVna8N,,,,,28.6542,77.2373,anonymous,EN,1,24,1,8.4,5.8,3.8,1.1,2,3.5,4,2.6,5.3,2.4,4.6,2,10,10,10,10,10,10
2024-01-25 08:01:50,2024-01-25 08:05:21,0,197.230.97.174,100,211,1,2024-01-25 08:05:22,R_8oARQRuBeJNAC6B,,,,,34.0663,-6.817,anonymous,EN,1,28,2,2.4,1.9,1.9,2.1,2,2.4,6.2,5.6,1.3,3.3,7.5,5.3,10,10,5.1,7.2,1.3,2
2024-01-25 14:03:42,2024-01-25 14:08:39,0,197.253.213.59,100,297,1,2024-01-25 14:08:40,R_8K1hv4XJnSFQte8,,,,,33.5792,-7.6133,anonymous,EN,1,26,1,1,1.1,1,1.2,2.1,2.1,7.4,7.3,8.4,8.2,5.6,7.2,6.8,6.3,7.5,7.8,5.4,5.3
2024-01-25 14:11:38,2024-01-25 14:13:10,0,105.76.39.132,100,91,1,2024-01-25 14:13:11,R_7dXWzy9u68tIXXG,,,,,33.5792,-7.6133,anonymous,EN,1,24,1,7.5,4.6,6.9,9,8.8,8,5.8,10,5.3,9.2,9,6.1,6.4,7.1,5.6,3.5,8.7,9.8
2024-01-25 14:26:36,2024-01-25 14:30:39,0,196.117.14.46,100,243,1,2024-01-25 14:30:39,R_7mwErNsJgaxL1Yt,,,,,33.5792,-7.6133,anonymous,EN,1,25,1,2,3,0,0,1,1,5,5,5,5.1,5,5.1,7,8.1,7,7.9,7,8.1
2024-01-25 15:47:21,2024-01-25 15:51:53,0,197.253.232.183,100,271,1,2024-01-25 15:51:53,R_6sZ6oWG0VwzuzDc,,,,,33.5792,-7.6133,anonymous,EN,1,24,1,7,7,7.5,8,7.5,7.5,7.5,9.4,8.4,8,8.5,8,9.5,8,9.4,9,9.4,8.4
2024-01-25 19:23:29,2024-01-25 19:27:45,0,105.67.3.95,100,256,1,2024-01-25 19:27:46,R_2luGaG2GWZybKKm,,,,,28.5,-10,anonymous,EN,1,29,1,1,2.8,6.2,6.3,0,1,5,5.6,5.7,6.9,7,4,5.2,5.5,2.9,3,8.5,8.4
2024-01-26 12:11:11,2024-01-26 12:17:06,0,105.155.170.171,100,354,1,2024-01-26 12:17:06,R_21d4IJDJu9XQwlk,,,,,34.0508,-5.0099,anonymous,EN,1,32,2,3.2,3.7,4.8,4.7,4.7,7,7.9,7.8,7.3,7.1,8.3,6.3,7.9,7,8,4,3.7,5.6
2024-01-26 13:16:04,2024-01-26 13:22:56,0,197.230.97.174,100,412,1,2024-01-26 13:22:57,R_8Z91KN63WtUNiAF,,,,,34.0663,-6.817,anonymous,EN,1,18,2,7.7,0.5,2,1,0.5,0.5,7,0.3,10,0.5,10,0.3,2,1,2,1.5,3,2.5
2024-01-26 19:34:40,2024-01-26 19:38:04,0,197.230.97.174,100,204,1,2024-01-26 19:38:05,R_7EuvpyQWuuWbCKo,,,,,34.0663,-6.817,anonymous,EN,1,18,1,1.3,5.3,6.6,7.7,9,9.2,5.2,8.8,4.9,8.5,3,5,7,8.5,6.7,5.8,6.5,6.6
2024-01-23 18:29:39,2024-01-26 23:07:00,0,197.230.97.174,100,275840,1,2024-01-26 23:07:00,R_2JHiOzFxQtiMACZ,,,,,34.0663,-6.817,anonymous,EN,1,20,2,5.3,9.5,6.5,4.9,9.5,9.5,4.2,8.1,7.6,8.5,9.5,7.6,6.7,7.5,6.4,6.7,8.9,9.4
