StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,label,group,logo_communication_1,Q3_1
2024-01-20 16:03:09,2024-01-20 16:03:47,0,102.77.249.47,100,37,1,2024-01-20 16:03:47,R_4JaemteWf0ZozFT,,,,,34.0072,-6.8407,anonymous,EN,1,M3,3,7,7
2024-01-20 16:03:16,2024-01-20 16:03:58,0,197.230.97.174,100,41,1,2024-01-20 16:03:59,R_2KfIYEmAFLZ3Zhm,,,,,34.0663,-6.817,anonymous,EN,1,M7,1,5,4
2024-01-20 16:03:24,2024-01-20 16:04:03,0,197.230.97.174,100,38,1,2024-01-20 16:04:04,R_2cr5W2jcRCtzL2h,,,,,34.0663,-6.817,anonymous,EN,1,F9,2,7,6
2024-01-20 16:03:16,2024-01-20 16:04:11,0,197.230.97.174,100,55,1,2024-01-20 16:04:12,R_2Y3cVj0U1VQ9zKt,,,,,34.0663,-6.817,anonymous,EN,1,M2,1,6,6
2024-01-20 16:03:40,2024-01-20 16:04:23,0,197.230.97.174,100,42,1,2024-01-20 16:04:23,R_63joAyXnOrnTpum,,,,,34.0663,-6.817,anonymous,EN,1,,2,5,5
2024-01-20 16:03:17,2024-01-20 16:04:23,0,160.164.114.247,100,66,1,2024-01-20 16:04:24,R_2q4y1vbSQfZgrFH,,,,,34.0072,-6.8407,anonymous,EN,1,F4,1,7,6
2024-01-20 16:03:57,2024-01-20 16:04:32,0,197.230.97.174,100,34,1,2024-01-20 16:04:33,R_4WDyf6XaiWeTAsc,,,,,34.0663,-6.817,anonymous,EN,1,F3,2,7,
2024-01-20 16:04:16,2024-01-20 16:04:44,0,197.230.97.174,100,28,1,2024-01-20 16:04:45,R_4oLRewpMFMJN5Vw,,,,,34.0663,-6.817,anonymous,EN,1,,3,7,7
2024-01-20 16:03:51,2024-01-20 16:04:45,0,197.230.97.174,100,53,1,2024-01-20 16:04:45,R_6Osrll4WosUxVjb,,,,,34.0663,-6.817,anonymous,EN,1,F6,2,6,6
2024-01-20 16:05:13,2024-01-20 16:06:09,0,197.230.97.174,100,55,1,2024-01-20 16:06:09,R_2Y9aEGO65mYJWEy,,,,,34.0663,-6.817,anonymous,EN,1,,2,7,6
2024-01-20 16:05:15,2024-01-20 16:11:26,0,197.230.97.174,100,370,1,2024-01-20 16:11:26,R_4DcnB3tujeJn8wL,,,,,34.0663,-6.817,anonymous,EN,1,M8,2,7,7
